┌─────┬────────────────────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id  │ name                       │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
├─────┼────────────────────────────┼─────────────┼─────────┼─────────┼──────────┼────────┼──────┼───────────┼──────────┼──────────┼──────────┼──────────┤
│ 114 │ api-microservice           │ default     │ 1.0.0   │ fork    │ 3563263  │ 48m    │ 0    │ online    │ 0%       │ 71.2mb   │ root     │ disabled │
│ 85  │ caio-agent                 │ default     │ 1.0.0   │ fork    │ 3556269  │ 51m    │ 0    │ online    │ 0%       │ 71.3mb   │ root     │ disabled │
│ 92  │ cao-analytics              │ default     │ 1.0.0   │ fork    │ 3557221  │ 50m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 82  │ cco-agent                  │ default     │ 1.0.0   │ fork    │ 3555956  │ 51m    │ 0    │ online    │ 0%       │ 70.4mb   │ root     │ disabled │
│ 95  │ cdivo-diversity            │ default     │ 1.0.0   │ fork    │ 3557869  │ 50m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 83  │ cdo-agent                  │ default     │ 1.0.0   │ fork    │ 3693303  │ 0s     │ 2275 │ online    │ 100%     │ 59.0mb   │ root     │ disabled │
│ 98  │ cdto-digital               │ default     │ 1.0.0   │ fork    │ 3558597  │ 50m    │ 0    │ online    │ 0%       │ 70.3mb   │ root     │ disabled │
│ 94  │ cetho-ethics               │ default     │ 1.0.0   │ fork    │ 3557638  │ 50m    │ 0    │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 88  │ cgo-agent                  │ default     │ 1.0.0   │ fork    │ 3556595  │ 51m    │ 0    │ online    │ 0%       │ 71.2mb   │ root     │ disabled │
│ 129 │ character-studio           │ default     │ N/A     │ fork    │ 3693311  │ 0s     │ 3655 │ online    │ 70%      │ 49.1mb   │ root     │ disabled │
│ 97  │ cho-happiness              │ default     │ 1.0.0   │ fork    │ 3693292  │ 0s     │ 2210 │ online    │ 100%     │ 61.9mb   │ root     │ disabled │
│ 93  │ chro-agent                 │ default     │ 1.0.0   │ fork    │ 3557450  │ 50m    │ 0    │ online    │ 0%       │ 71.0mb   │ root     │ disabled │
│ 91  │ ciso-security              │ default     │ 1.0.0   │ fork    │ 3557008  │ 50m    │ 0    │ online    │ 0%       │ 70.2mb   │ root     │ disabled │
│ 84  │ cko-agent                  │ default     │ 1.0.0   │ fork    │ 3556148  │ 51m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 133 │ clo-lexai                  │ default     │ 1.0.0   │ fork    │ 3637677  │ 21m    │ 0    │ online    │ 10%      │ 73.8mb   │ root     │ disabled │
